college,code,title,credits,description,prereqs
COP,BIO218,Pathophysiology,3,"Mechanisms and consequences of disease processes; cellular adaptation/injury; fluid/electrolyte and system-specific imbalances.","BIO217"
COP,BIO225,Biochemistry,3,"Amino acids, proteins, enzymes; carbohydrates, lipids, nucleotides; metabolism, membranes/signaling, bioenergetics.","BIO211;CHE212"
COP,BIO210,Biostatistics,3,"Research design; diagnostic test performance; descriptive statistics; probability; estimation; hypothesis testing; regression; clinical trials.", 
COP,PHA101,Introduction to Pharmacy and Pharmaceutical Sciences,3,"History and evolution of pharmacy; practice domains; terms/abbreviations; organizations; dosage forms; ethics and professional conduct.", 
COP,PHA300,Pharmacology I,3,"Fundamentals of pharmacology; mechanisms and effects; drugs targeting PNS/CNS; inflammation.","PHA101"
COP,PHA300L,Pharmacology I Laboratory,1,"Experimental pharmacology skills (in vitro/in vivo assays, dosing, analysis) aligned with Pharmacology I.","PHA300 (Pre-/Co-req)"
COP,PHA350,Pharmacology II,3,"Continuation of Pharmacology I: cardiovascular, antidiabetic, antifungal, antibiotics, chemotherapy agents.","PHA300"
COP,PHA310,Dosage Forms I,3,"Design/formulation/manufacture/evaluation of liquid dosage forms; GMP; solutions, suspensions, emulsions, colloids; routes of administration.", 
COP,PHA310L,Dosage Forms I Laboratory,1,"Compounding and labeling of liquid/colloidal dosage forms; calculations and procedures.","PHA310 (Pre-/Co-req)"
COP,PHA360,Dosage Forms II,3,"Design/formulation/manufacture/evaluation of semi-solid/solid/novel dosage forms.","PHA310;PHA310L"
COP,PHA360L,Dosage Forms II Laboratory,1,"Preparation and evaluation of gels, ointments, creams, suppositories, tablets, and topical products.","PHA360 (Pre-/Co-req)"
COP,PHA320,Medicinal Chemistry I,3,"Drug action mechanisms; integrate toxicology, pharmacology, computation, and clinical insights for design of improved agents.", 
COP,PHA370,Medicinal Chemistry II,3,"Drug classes (neurologic, anesthetic, analgesic, anti-inflammatory, antibacterial, cardiovascular); PK/PD profiles.","PHA330"
COP,PHA330,Pharmaceutical Analysis,3,"Equilibria in analysis; titrimetric methods; instrumental techniques; chromatography basics for drugs and dosage forms.", 
COP,PHA330L,Pharmaceutical Analysis Laboratory,1,"Applied analytical methods and instrument techniques for pharmaceutical materials.","PHA330 (Pre-/Co-req)"
COP,PHA380,Pharmacotherapeutics I,3,"Self-care, immunizations, GI/hepatic/pulmonary disorders; monitoring parameters; side effects; patient-centered plans.", 
COP,PHA380L,Pharmacotherapeutics I: Applied Skills Lab,1,"Community practice skills using QuEST/SCHOLAR-MACS; OSCE assessment.","PHA380 (Co-req)"
COP,PHA390,Drug Information and Literature Evaluation,2,"Medical terminology; monographs; SOAP notes; consultations; literature types; basic biostatistics in drug evaluation.", 
COP,PHA410,Physical Assessment,3,"Patient interviewing and physical exam skills; vital signs; systems examination; communication for pharmacy services.", 
COP,PHA420,Pharmacotherapeutics II,3,"Psychological, neurological, cardiovascular disorders; monitoring and side effects; patient-centered treatment plans.","PHA380"
COP,PHA430,Pharmacotherapeutics III,3,"Infectious diseases; monitoring and significant side effects; patient-centered plans.","PHA380"
COP,PHA440,Toxicology,3,"Human toxicity factors; toxicokinetics; diagnosis/management of poisonings; pesticides, metals, solvents, common medications.", 
COP,PHA450,Dispensing and Pharmaceutical Care,3,"Safe/accurate dispensing in community/hospital settings; counseling; conflict management; leadership; OTC care.", 
COP,PHA460,Pharmacognosy and Evidence-Based Herbal Medicine,3,"Natural products: origins, identification, SAR, roles in drug development; evidence-based use.", 
COP,PHA470,Pharmacotherapeutics IV,3,"Renal, endocrine, rheumatologic disorders; monitoring and major side effects; patient-centered plans.","PHA380"
COP,PHA480,Pharmacotherapeutics V,3,"Oncology; women’s/men’s health; hematology; therapy selection, interactions, ADRs; antimicrobial stewardship.","PHA380"
COP,PHA500,Pharmacy Management and Drug Marketing,3,"Management functions and resources across pharmacy settings; operations, finance, services, risk management.", 
COP,PHA510,Pharmacoepidemiology,2,"Epidemiology in pharmacy; causality, bias, confounding; study designs; pharmacovigilance and post-marketing surveillance.", 
COP,PHA520,U.S. and Iraqi Pharmacy Law and Regulation,1,"Licensure and regulatory frameworks for community/hospital pharmacies and manufacturing/import; US vs. Iraq comparison.", 
COP,PHA545,Introductory Pharmacy Practice Experience III (PPE III),6,"Advanced patient evaluation, literature-guided planning, interactions monitoring, counseling, and administrative skills.","PHA495"
COP,PHA550,Pharmaco-genomics,3,"Molecular genetics basis of response variability; transport/metabolism pharmacogenetics; clinical applications across specialties.", 
COP,PHA560,Pharmaco-economics,3,"Cost models (CMA/CEA/CUA/CBA/cost of illness); modeling and discounting; evaluation and decision-making.", 
COP,PHA580,Pharmacotherapeutics VI (Elective),3,"Advanced therapeutics in oncology and related areas; guideline-based, case-driven treatment design.", 
COP,PHA581,Clinical Nutrition and Diet Therapy (Elective),3,"Nutrients and disease; evidence-based parenteral/enteral nutrition planning, monitoring, and delivery.", 
COP,PHA582,Dermatology and Cosmetology (Elective),3,"Dermatologic disorders: evaluation/treatment/referral; foundations of pharmaceutical cosmetology.", 
COP,PHA583,Clinical and Pharmacy Management (Elective),3,"Utilization/care management, formulary, strategy, specialty pharmacy, managed care, leadership; selected regulatory topics.", 
COP,PHA395,Introductory Pharmacy Practice Experience I (PPE I),3,"Community/hospital practice exposure: operations, inventory, services; para-pharmaceutical items; management approaches.", 
COP,PHA495,Introductory Pharmacy Practice Experience II (PPE II),3,"Hospital-focused practice: drug information, order screening/interventions, administration, accreditation, distribution systems.","PHA395"
COP,PHA595,Introductory Pharmacy Practice Experience IV (PPE IV),9,"Capstone experiential rotations (e.g., internal medicine, pediatrics, critical care); therapeutic monitoring and consultation.","PHA545"

COD,BDS101,Dental Anatomy,3,"Tooth morphology and occlusion; anatomy of primary and permanent dentitions with clinical correlations.",
COD,BDS102,Oral Histology & Embryology,3,"Microscopic structure and development of oral tissues including enamel, dentin, pulp, cementum, and periodontium.",
COD,BDS103,Human Physiology for Dentistry,3,"Fundamental physiology of major systems with emphasis on oral-facial relevance and homeostasis.",
COD,BDS104,Medical Biochemistry for Dentistry,3,"Biomolecules, enzymes, metabolism, and biochemical basis of disease with dental applications.",
COD,BDS105,Introduction to Dentistry & Professionalism,2,"Orientation to dental profession, ethics, patient safety, infection control, and basic clinical communication.",
COD,BDS106,Dental Materials I,3,"Composition, properties, and handling of dental materials; biocompatibility and clinical selection.",
COD,BDS106L,Dental Materials Laboratory I,1,"Hands-on manipulation and testing of restorative and impression materials.","BDS106 (Pre-/Co-req)"
COD,BDS107,Preclinical Operative Dentistry I,3,"Principles of caries diagnosis and cavity preparation; intro to direct restorative techniques.",
COD,BDS107L,Preclinical Operative Dentistry Lab I,1,"Simulation lab for cavity preparation and direct restorations.","BDS107 (Pre-/Co-req)"
COD,BDS108,Preclinical Prosthodontics I,3,"Foundations of removable and fixed prosthodontics: impressions, casts, occlusal records.",
COD,BDS108L,Preclinical Prosthodontics Lab I,1,"Simulation lab for impressions, jaw relation records, and basic prosthodontic procedures.","BDS108 (Pre-/Co-req)"
COD,BDS201,Medical Microbiology & Immunology,3,"Pathogenic microorganisms, host response, sterilization/disinfection, antimicrobial stewardship.",
COD,BDS202,General Pathology,3,"Cell injury, inflammation, neoplasia, hemodynamic and genetic disorders with clinical correlations.",
COD,BDS203,Pharmacology for Dentistry,3,"Drug classes relevant to dental practice, mechanisms, interactions, and safe prescribing.",
COD,BDS204,Dental Radiology,3,"Radiographic physics, imaging techniques, interpretation, radiation biology and protection.",
COD,BDS205,Oral Pathology,3,"Diseases of oral and maxillofacial tissues: etiology, clinical features, diagnosis, and management.","BDS202"
COD,BDS206,Preclinical Endodontics,2,"Pulp biology and canal instrumentation; principles of cleaning, shaping, and obturation.","BDS107"
COD,BDS206L,Preclinical Endodontics Laboratory,1,"Simulation of endodontic access, working length determination, and obturation.","BDS206 (Pre-/Co-req)"
COD,BDS207,Preclinical Periodontology,2,"Periodontal anatomy, etiology of periodontal diseases, diagnosis and initial therapy.","BDS107"
COD,BDS207L,Preclinical Periodontology Laboratory,1,"Instrumentation, scaling, and root planing on simulators.","BDS207 (Pre-/Co-req)"
COD,BDS208,Preclinical Orthodontics,2,"Growth and development, malocclusion classification, basics of orthodontic diagnosis.",
COD,BDS208L,Preclinical Orthodontics Laboratory,1,"Wire bending, appliance components, and model analysis.","BDS208 (Pre-/Co-req)"
COD,BDS301,Operative Dentistry I,3,"Diagnosis and management of caries; direct/indirect restorations with modern adhesive techniques.","BDS107"
COD,BDS302,Removable Prosthodontics I,3,"Complete and partial dentures: assessment, design, and clinical procedures.","BDS108"
COD,BDS303,Fixed Prosthodontics I,3,"Crowns and fixed partial dentures: tooth preparation, provisionalization, and impression techniques.","BDS108"
COD,BDS304,Endodontics I,3,"Diagnosis of pulpal and periapical diseases; non-surgical root canal therapy.","BDS206"
COD,BDS305,Periodontology I,3,"Diagnosis and treatment planning for periodontal diseases; non-surgical therapy and maintenance.","BDS207"
COD,BDS306,Oral & Maxillofacial Surgery I,3,"Exodontia principles, surgical asepsis, local anesthesia, and management of surgical complications.","BDS204"
COD,BDS307,Oral Medicine & Diagnosis,3,"Medical evaluation of dental patients; oral manifestations of systemic disease; differential diagnosis.","BDS204"
COD,BDS308,Pedodontics (Pediatric Dentistry) I,3,"Growth and behavior management; prevention and restorative care for children and adolescents.","BDS301"
COD,BDS309,Preventive & Community Dentistry,3,"Epidemiology of oral disease, prevention strategies, health promotion, and community programs.",
COD,BDS310,Orthodontics I,3,"Orthodontic diagnosis, treatment objectives, and interceptive approaches.","BDS208"
COD,BDS311,Prosthodontic Materials & Occlusion,3,"Advanced materials selection; articulators, occlusal schemes, and functional analysis.","BDS106;BDS108"
COD,BDS312,Special Care Dentistry,2,"Care for medically complex and special needs patients; risk assessment and modifications.","BDS307"
COD,BDS401,Clinical Operative Dentistry,4,"Comprehensive clinical management of operative cases including esthetics and adhesive dentistry.","BDS301"
COD,BDS402,Clinical Removable Prosthodontics,4,"Clinical delivery of complete and partial dentures; adjustments and maintenance.","BDS302"
COD,BDS403,Clinical Fixed Prosthodontics,4,"Preparation, impression, temporization, and delivery of crowns/bridges in clinic.","BDS303"
COD,BDS404,Clinical Endodontics,3,"Diagnosis and non-surgical endodontic treatment of indicated teeth in clinic.","BDS304"
COD,BDS405,Clinical Periodontology,3,"Non-surgical and selected surgical periodontal therapies; maintenance protocols.","BDS305"
COD,BDS406,Clinical Oral & Maxillofacial Surgery,3,"Dentoalveolar surgery, minor oral surgical procedures, and peri-operative care.","BDS306"
COD,BDS407,Clinical Oral Medicine & Diagnosis,3,"Comprehensive patient assessment and medical risk management in dental clinic.","BDS307"
COD,BDS408,Clinical Orthodontics,3,"Clinical execution of orthodontic treatment plans; appliance therapy and monitoring.","BDS310"
COD,BDS409,Clinical Pediatric Dentistry,3,"Preventive and restorative pediatric care; pulp therapy and space maintenance.","BDS308"
COD,BDS410,Comprehensive Care/Integrated Clinic,5,"Team-based comprehensive dental care integrating all disciplines; case completion and outcomes assessment.","BDS401;BDS402;BDS403;BDS404;BDS405;BDS406;BDS407"
COD,BDS411,Public Health Dentistry Field Experience,2,"Community rotations, needs assessment, program design, and outcome evaluation.","BDS309"
COD,BDS412,Research Methods & Evidence-Based Dentistry,2,"Study designs, biostatistics basics, critical appraisal, and clinical guideline application.",
COD,BDS413,Practice Management & Ethics,2,"Clinic operations, recordkeeping, economics, law, ethics, and professionalism.",
COD,BDS414,Infection Control & Patient Safety,1,"Standards, protocols, and quality assurance for infection prevention in dental settings.",

college,code,title,credits,description,prereqs
CAS,UNI101,First-Year University Experience,3,"Acclimates students to university life: study skills, information literacy, diversity, and collaborative learning.",

CAS,ENL101,Expository Writing,3,"Practice writing in multiple genres; develop argument and voice using sources within academic/public debates.",
CAS,ENL201,Academic Writing,3,"Advanced academic research and writing integrating sources across disciplines.","ENL101"
CAS,ENL210,Introduction to Public Speaking,3,"Fundamentals of public speaking and rhetoric; ethical use of sources; planned and extemporaneous delivery.","ENL101"

CAS,MAT101,College Algebra,3,"Linear and nonlinear functions, equations/inequalities, data analysis, probability, and problem solving with applications.",

CAS,HIS101,Civilizations and History I,3,"Global survey of civilizations through 1500 across arts, politics, philosophy, and religion; pluralistic perspective.",
CAS,HIS102,Civilizations and History II,3,"Civilizations since 1400: Renaissance to modern era; global encounters, empire, revolutions, and social change.",
CAS,HIS105,Introduction to Contemporary History,3,"World history from late 19th to early 21st centuries: empires, states, wars, ideas, and economic transformations.",
CAS,HUM101,Introduction to Humanities,3,"Interdisciplinary study of art, architecture, literature, music, philosophy, and religion; what it means to be human.",
CAS,LIT101,Introduction to World Literature,3,"Genres, forms, and critical approaches; close reading of global authors and traditions.",
CAS,PHA210,Introduction to Global Health,3,"Key concepts, disparities, systems, and policies shaping global health challenges and responses.",
CAS,PHI101,Introduction to Ethics,3,"Classical and applied ethics across traditions; moral reasoning in real-world contexts.",
CAS,POL125,American Culture, Politics, & Society,3,"Survey of U.S. culture, political institutions, and social dynamics in historical and contemporary perspective.",

CAS,TLD100,Introduction to AUIB Educational Design and Studies,3,"How students learn in American-style universities; norms, expectations, and the learning process.",
CAS,TLD101,Foundations of Special Education (SPED),3,"Global perspectives on disability and inclusion; development, identification, and instructional approaches.",
CAS,TLD102,Foundations of Learning & Design,3,"Learning frameworks and observation in schools/NGOs; roles, values, and tools for educational practice.",
CAS,TLD103,Global Dimensions of Development and Education,3,"Comparative education and human development; access, quality, equity, and efficiency in global contexts.",

CAS,COM101,Introduction to Communications,3,"Public/persuasive speaking, interpersonal/group dynamics, media literacy, and ethics in contemporary contexts.",
CAS,ECO101,History of Economic Thought,3,"Classical to modern schools of thought (Smith, Ricardo, Marx, Keynes); debates on markets, policy, and growth.",
CAS,FIN101,Finance for Non-Business Students,3,"Core finance concepts and applications in personal, corporate, banking, and international contexts.",
CAS,HCT108,Introduction to Public Health,3,"Community health data, social determinants, disparities, risk communication, and planning foundations.",
CAS,MIS101,Introduction to Management Information Systems,3,"Information systems foundations, strategy, and organizational impact in a connected world.","Completed or enrolled in Level 6 ASP"
CAS,POL101,Introduction to Political Science,3,"Institutions, behavior, ideologies, and comparative/international politics; analytical tools and concepts.",
CAS,POL112,Globalization and World Politics,3,"Evolution of global order; actors, structures, and contemporary issues (economy, law, security, rights).",
CAS,POL191,Global Climate Change,3,"Science of climate systems and the cultural/political dimensions of climate change debates and policies.",
CAS,PSY101,Introduction to Psychology,3,"Foundations of psychological science: cognition, development, personality, psychopathology, methods, and applications.",
CAS,SOC101,Introduction to Sociology,3,"Society, culture, institutions, inequality, and social change; theory, methods, and contemporary issues.",

CAS,CHE100,Chemistry in Our Life,3,"Chemistry in everyday life: materials, food, health, environment, consumer products, and forensics (non-majors).",
CAS,ENV201,Environmental Science,3,"Biodiversity, ecosystems, resources, climate change, energy, and sustainability; scientific and social perspectives.",
CAS,GEO101,Introduction to Geography,3,"Physical and human geography: earth systems, environments, human-environment interactions, and spatial analysis.",
CAS,PHY100,Conceptual Physics,3,"Conceptual foundations of mechanics, waves, light, electricity/magnetism, and nuclear topics; minimal math.","MAT101 (Co-req)"
CAS,PHY105,Descriptive Astronomy,3,"Descriptive survey of astronomy and cosmology: solar system, stars, galaxies, universe, and life in the cosmos.",
